Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Time Period
China,2020,Sql Injection,IT,89.38,923489,Nation-state,Unpatched Software,Firewall,66,96.78512683962667,2020-2024
Usa,2024,Phishing,IT,58.57,630793,Hacker Group,Social Engineering,AI-based Detection,64,92.85137913705447,2020-2024
France,2015,Sql Injection,Education,65.83,691903,Unknown,Zero-day,VPN,54,95.14339437753559,2015-2019
Uk,2019,Phishing,Government,79.79,133632,Hacker Group,Weak Passwords,Firewall,8,597.0875239463602,2015-2019
Australia,2017,Phishing,Banking,90.5,42278,Insider,Weak Passwords,AI-based Detection,45,2140.5932163300063,2015-2019
Germany,2016,Phishing,IT,2.1,176471,Unknown,Zero-day,VPN,9,11.899972233398122,2015-2019
India,2015,Sql Injection,Telecommunications,63.72,916516,Hacker Group,Social Engineering,Encryption,68,69.52415451557856,2015-2019
Japan,2023,Sql Injection,Government,87.8,510002,Hacker Group,Social Engineering,Firewall,62,172.15618762279362,2020-2024
Uk,2015,Malware,IT,82.45,435994,Nation-state,Unpatched Software,Encryption,51,189.10810699229805,2015-2019
India,2016,Ransomware,IT,66.19,537670,Hacker Group,Unpatched Software,Encryption,55,123.10525043242137,2015-2019
Russia,2022,Malware,Banking,39.62,850339,Hacker Group,Social Engineering,Firewall,50,46.59318224849149,2020-2024
Japan,2021,Ddos,Government,35.46,937562,Unknown,Zero-day,Firewall,10,37.82149873821678,2020-2024
France,2020,Malware,Government,10.62,405267,Nation-state,Unpatched Software,AI-based Detection,5,26.204946368690273,2020-2024
China,2022,Ddos,Government,80.76,346279,Unknown,Zero-day,Encryption,59,233.22234383257432,2020-2024
Brazil,2016,Ddos,Telecommunications,10.45,889928,Nation-state,Zero-day,Encryption,63,11.74252299062396,2015-2019
France,2018,Sql Injection,Healthcare,0.95,376206,Unknown,Unpatched Software,Antivirus,44,2.5252122507349695,2015-2019
India,2018,Ransomware,IT,27.14,227433,Unknown,Unpatched Software,Antivirus,13,119.3318471813677,2015-2019
Germany,2023,Ransomware,Healthcare,54.79,393779,Nation-state,Weak Passwords,Encryption,39,139.1389586544737,2020-2024
Russia,2022,Ransomware,IT,41.08,529025,Insider,Unpatched Software,AI-based Detection,42,77.65228486366429,2020-2024
Brazil,2024,Man-In-The-Middle,Education,8.94,451311,Unknown,Weak Passwords,Encryption,14,19.80895657318346,2020-2024
India,2017,Ransomware,Education,98.11,677198,Unknown,Social Engineering,VPN,28,144.87638770344861,2015-2019
Russia,2024,Man-In-The-Middle,Healthcare,9.4,480988,Nation-state,Unpatched Software,Encryption,59,19.54310710454315,2020-2024
Australia,2015,Ransomware,Telecommunications,46.39,605536,Nation-state,Unpatched Software,VPN,61,76.60981345452623,2015-2019
Brazil,2018,Ransomware,Banking,30.61,910960,Nation-state,Social Engineering,Antivirus,31,33.6019144638623,2015-2019
China,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3,113.84698220073102,2015-2019
Australia,2017,Man-In-The-Middle,Banking,54.38,100855,Unknown,Social Engineering,VPN,2,539.189926131575,2015-2019
China,2023,Malware,Education,23.74,317922,Insider,Social Engineering,Antivirus,18,74.67240392297482,2020-2024
Usa,2018,Ddos,IT,82.13,220618,Unknown,Weak Passwords,Firewall,59,372.27243470614366,2015-2019
India,2015,Ransomware,Telecommunications,24.7,825941,Hacker Group,Unpatched Software,VPN,54,29.905283791457258,2015-2019
China,2022,Malware,Education,60.9,331234,Unknown,Social Engineering,Antivirus,3,183.85793728904642,2020-2024
China,2020,Man-In-The-Middle,Telecommunications,14.61,855055,Hacker Group,Unpatched Software,Antivirus,59,17.086620158937144,2020-2024
Japan,2022,Ddos,Telecommunications,34.31,305329,Unknown,Unpatched Software,Firewall,40,112.37059041230934,2020-2024
Japan,2020,Phishing,Government,32.39,442923,Nation-state,Social Engineering,Encryption,57,73.12783486068685,2020-2024
Uk,2015,Ransomware,Banking,79.3,893277,Unknown,Social Engineering,Firewall,15,88.77425479442547,2015-2019
China,2020,Malware,Healthcare,30.86,240532,Insider,Weak Passwords,Encryption,64,128.29893735552858,2020-2024
Usa,2016,Ddos,Healthcare,93.14,947960,Nation-state,Weak Passwords,Firewall,55,98.2530908477151,2015-2019
Brazil,2018,Malware,Healthcare,52.87,437283,Insider,Zero-day,Antivirus,30,120.90568350473264,2015-2019
China,2019,Malware,Healthcare,29.61,761390,Insider,Weak Passwords,Antivirus,7,38.889399650638964,2015-2019
France,2019,Phishing,Retail,25.75,998507,Insider,Weak Passwords,AI-based Detection,15,25.788502233835114,2015-2019
India,2017,Ddos,Retail,82.17,593329,Hacker Group,Unpatched Software,AI-based Detection,62,138.48977548712435,2015-2019
Uk,2019,Phishing,Banking,60.07,197590,Insider,Zero-day,Encryption,62,304.0133610000506,2015-2019
Japan,2017,Ransomware,Banking,50.75,53111,Hacker Group,Social Engineering,Antivirus,15,955.5459321044605,2015-2019
Australia,2017,Phishing,Retail,14.88,69641,Hacker Group,Unpatched Software,Firewall,54,213.66723625450524,2015-2019
Germany,2022,Ddos,IT,73.98,953770,Insider,Weak Passwords,Firewall,54,77.56587017834488,2020-2024
Japan,2023,Sql Injection,Retail,42.33,643549,Nation-state,Weak Passwords,VPN,20,65.77587720593148,2020-2024
Brazil,2022,Man-In-The-Middle,Education,77.98,899279,Insider,Zero-day,Firewall,39,86.71391192277369,2020-2024
India,2016,Ransomware,Education,8.55,857887,Unknown,Social Engineering,Firewall,44,9.96634754926931,2015-2019
Russia,2016,Phishing,Government,30.57,503775,Unknown,Zero-day,VPN,71,60.68185201726961,2015-2019
Japan,2015,Sql Injection,IT,36.98,452892,Unknown,Weak Passwords,VPN,17,81.65302102929617,2015-2019
Russia,2018,Ransomware,Healthcare,24.06,327566,Unknown,Unpatched Software,AI-based Detection,6,73.45084654695542,2015-2019
Australia,2018,Ransomware,Education,50.66,851204,Insider,Zero-day,Firewall,3,59.51569776457817,2015-2019
Uk,2017,Man-In-The-Middle,Government,79.27,923309,Hacker Group,Unpatched Software,Firewall,29,85.85424814444568,2015-2019
Brazil,2023,Phishing,Banking,71.86,151590,Nation-state,Zero-day,Antivirus,30,474.0418233392704,2020-2024
Uk,2022,Ddos,Education,21.01,452432,Nation-state,Unpatched Software,Firewall,8,46.43791774233476,2020-2024
Japan,2015,Ransomware,Retail,95.38,769596,Nation-state,Weak Passwords,VPN,65,123.93515558812676,2015-2019
Germany,2022,Phishing,Banking,14.79,407151,Unknown,Weak Passwords,Antivirus,37,36.32558927768813,2020-2024
Brazil,2023,Ddos,IT,45.97,312555,Nation-state,Social Engineering,AI-based Detection,67,147.07811425189166,2020-2024
Brazil,2019,Man-In-The-Middle,Government,76.39,311908,Unknown,Weak Passwords,Encryption,68,244.9119612193339,2015-2019
China,2018,Malware,Banking,68.55,59979,Insider,Zero-day,Firewall,41,1142.9000150052518,2015-2019
Japan,2019,Malware,IT,9.86,233545,Unknown,Zero-day,Antivirus,55,42.21884433406838,2015-2019
France,2020,Man-In-The-Middle,Retail,89.85,722081,Hacker Group,Zero-day,VPN,33,124.43202355414421,2020-2024
Russia,2024,Sql Injection,Healthcare,76.99,873037,Nation-state,Unpatched Software,Antivirus,31,88.18641134339094,2020-2024
India,2022,Malware,IT,12.08,482213,Nation-state,Social Engineering,AI-based Detection,3,25.05117033344186,2020-2024
India,2020,Phishing,Education,39.72,512850,Hacker Group,Zero-day,Antivirus,15,77.44954665106756,2020-2024
China,2023,Man-In-The-Middle,Telecommunications,37.73,849834,Hacker Group,Zero-day,AI-based Detection,56,44.39690574865209,2020-2024
Brazil,2022,Malware,Retail,78.03,660707,Insider,Unpatched Software,Firewall,11,118.1007617597513,2020-2024
Usa,2021,Ransomware,Education,6.77,697935,Unknown,Social Engineering,AI-based Detection,16,9.700043700344589,2020-2024
Russia,2019,Malware,IT,71.92,500655,Nation-state,Zero-day,AI-based Detection,8,143.65181612088165,2015-2019
Usa,2020,Ransomware,IT,95.79,239343,Nation-state,Zero-day,VPN,63,400.22060390318495,2020-2024
China,2023,Phishing,Retail,90.04,143728,Unknown,Zero-day,AI-based Detection,57,626.461093175999,2020-2024
Usa,2020,Phishing,Retail,99.64,464717,Insider,Weak Passwords,VPN,27,214.4100603162785,2020-2024
Russia,2018,Sql Injection,Education,1.25,351063,Nation-state,Weak Passwords,Firewall,56,3.5606144766039143,2015-2019
Australia,2015,Ddos,Government,13.96,479025,Nation-state,Zero-day,Antivirus,54,29.142529095558686,2015-2019
Germany,2021,Ddos,Banking,1.62,823004,Nation-state,Zero-day,Encryption,22,1.968398695510593,2020-2024
Russia,2021,Ddos,Education,18.47,394957,Hacker Group,Weak Passwords,Antivirus,27,46.76458449907205,2020-2024
France,2019,Phishing,Telecommunications,28.88,96640,Unknown,Social Engineering,Antivirus,60,298.841059602649,2015-2019
Russia,2024,Ddos,Education,19.5,325634,Insider,Weak Passwords,Firewall,5,59.88318173163736,2020-2024
France,2023,Sql Injection,Government,29.63,662667,Hacker Group,Zero-day,VPN,30,44.713257186490345,2020-2024
Usa,2024,Phishing,IT,57.24,107681,Unknown,Zero-day,VPN,18,531.570100574846,2020-2024
Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6,3.257849635986207,2015-2019
Japan,2022,Sql Injection,Government,79.19,950425,Unknown,Social Engineering,Antivirus,54,83.32061972275561,2020-2024
Brazil,2017,Ransomware,Education,80.5,279808,Insider,Social Engineering,Antivirus,60,287.6972781335773,2015-2019
India,2024,Sql Injection,Telecommunications,71.2,190099,Unknown,Zero-day,AI-based Detection,15,374.54168617404616,2020-2024
Brazil,2019,Malware,Government,12.04,713035,Nation-state,Social Engineering,AI-based Detection,59,16.885566627164163,2015-2019
Australia,2016,Malware,Retail,29.05,817347,Nation-state,Weak Passwords,Antivirus,68,35.541820059289385,2015-2019
Germany,2023,Ransomware,Healthcare,28.18,707214,Unknown,Weak Passwords,AI-based Detection,11,39.84649625148823,2020-2024
Uk,2016,Ddos,Retail,39.26,668780,Hacker Group,Zero-day,Firewall,33,58.70390860970723,2015-2019
Russia,2015,Ddos,Telecommunications,57.21,609196,Unknown,Social Engineering,VPN,4,93.91066257821785,2015-2019
Usa,2021,Man-In-The-Middle,Telecommunications,83.88,980367,Nation-state,Unpatched Software,Firewall,3,85.55979546435161,2020-2024
Russia,2022,Man-In-The-Middle,IT,84.1,919858,Nation-state,Unpatched Software,Encryption,47,91.42715506088983,2020-2024
France,2017,Ddos,Healthcare,39.49,195459,Hacker Group,Weak Passwords,Encryption,14,202.0372558950982,2015-2019
Russia,2015,Man-In-The-Middle,Government,46.76,713342,Unknown,Weak Passwords,Encryption,36,65.55060545993366,2015-2019
Uk,2019,Ddos,Banking,80.68,19007,Nation-state,Unpatched Software,VPN,29,4244.751933498185,2015-2019
China,2022,Ransomware,Government,86.56,963091,Insider,Zero-day,VPN,37,89.8772805477364,2020-2024
Uk,2017,Malware,Government,66.25,726887,Hacker Group,Social Engineering,Firewall,13,91.14208948571098,2015-2019
Russia,2021,Ddos,IT,78.76,130413,Unknown,Social Engineering,Encryption,66,603.9275225629347,2020-2024
Germany,2017,Malware,Banking,97.68,906914,Hacker Group,Zero-day,AI-based Detection,15,107.7059125782599,2015-2019
China,2020,Ransomware,IT,14.94,557218,Nation-state,Zero-day,Firewall,70,26.811768464048182,2020-2024
Russia,2018,Sql Injection,Banking,59.29,380543,Unknown,Weak Passwords,VPN,26,155.80368053018975,2015-2019
Uk,2022,Malware,Retail,39.55,337363,Insider,Social Engineering,VPN,2,117.23277300711696,2020-2024
China,2018,Ddos,IT,14.04,803086,Nation-state,Social Engineering,VPN,23,17.482561020862025,2015-2019
China,2024,Man-In-The-Middle,IT,63.79,195858,Hacker Group,Zero-day,Encryption,1,325.6951464836769,2020-2024
India,2019,Malware,Banking,37.03,358371,Insider,Weak Passwords,AI-based Detection,30,103.32867335805632,2015-2019
Australia,2019,Phishing,Retail,9.12,212267,Insider,Zero-day,Antivirus,14,42.96475665082184,2015-2019
France,2021,Man-In-The-Middle,Healthcare,52.04,757744,Nation-state,Zero-day,Antivirus,43,68.67754809012014,2020-2024
Japan,2017,Ransomware,Retail,59.13,747705,Insider,Unpatched Software,VPN,47,79.08199089212992,2015-2019
Usa,2024,Phishing,Telecommunications,64.67,996651,Hacker Group,Weak Passwords,Encryption,69,64.88730759312939,2020-2024
Uk,2015,Ransomware,Government,52.78,281905,Insider,Social Engineering,VPN,32,187.22619322112058,2015-2019
Brazil,2019,Man-In-The-Middle,Healthcare,7.44,739981,Unknown,Social Engineering,Antivirus,54,10.05431220531338,2015-2019
France,2016,Sql Injection,Telecommunications,47.19,554448,Hacker Group,Social Engineering,Antivirus,31,85.11167864254178,2015-2019
Usa,2016,Ransomware,Healthcare,99.19,745103,Insider,Unpatched Software,Encryption,8,133.1225347368082,2015-2019
India,2015,Ddos,Healthcare,10.94,600279,Insider,Unpatched Software,AI-based Detection,16,18.224858774003422,2015-2019
Russia,2016,Man-In-The-Middle,IT,48.86,973654,Unknown,Unpatched Software,Encryption,23,50.182097541837244,2015-2019
China,2016,Ddos,Telecommunications,80.48,78123,Hacker Group,Social Engineering,Antivirus,50,1030.1703723615324,2015-2019
Uk,2015,Man-In-The-Middle,Government,69.96,675955,Insider,Zero-day,Antivirus,60,103.49801392104504,2015-2019
China,2016,Ddos,IT,18.96,122866,Insider,Unpatched Software,VPN,46,154.31445639965492,2015-2019
Russia,2018,Ransomware,Education,66.33,177570,Nation-state,Social Engineering,Encryption,72,373.5428281804359,2015-2019
France,2024,Man-In-The-Middle,Retail,60.4,774913,Unknown,Unpatched Software,Antivirus,43,77.94423373978756,2020-2024
China,2024,Phishing,IT,24.92,852327,Unknown,Zero-day,VPN,44,29.237604815991983,2020-2024
Australia,2019,Ddos,IT,32.06,775033,Hacker Group,Zero-day,Antivirus,8,41.36598054534453,2015-2019
China,2022,Phishing,Telecommunications,71.77,823093,Insider,Zero-day,Firewall,36,87.19549309737782,2020-2024
France,2018,Phishing,Government,70.59,947445,Insider,Social Engineering,Encryption,59,74.50564412709973,2015-2019
Japan,2018,Ddos,IT,75.34,972713,Unknown,Unpatched Software,Encryption,71,77.45347291544371,2015-2019
France,2023,Malware,Banking,9.99,116840,Unknown,Zero-day,Firewall,51,85.50154056829852,2020-2024
Usa,2021,Ransomware,Telecommunications,91.94,710953,Unknown,Zero-day,Firewall,9,129.31937835553123,2020-2024
Russia,2015,Ddos,IT,66.09,467190,Nation-state,Social Engineering,AI-based Detection,25,141.46278815899313,2015-2019
Germany,2024,Phishing,Healthcare,66.73,540773,Unknown,Unpatched Software,VPN,15,123.39743293396675,2020-2024
Australia,2018,Sql Injection,Banking,40.11,874040,Unknown,Social Engineering,Firewall,6,45.89034826781383,2015-2019
Australia,2022,Sql Injection,Healthcare,60.71,8498,Nation-state,Weak Passwords,VPN,17,7144.033890327136,2020-2024
Usa,2016,Ddos,IT,18.48,112881,Hacker Group,Social Engineering,VPN,32,163.7122279214394,2015-2019
Japan,2018,Ddos,IT,9.9,942725,Insider,Zero-day,VPN,56,10.501471797183696,2015-2019
France,2024,Phishing,Education,52.03,168684,Nation-state,Unpatched Software,VPN,27,308.44656280382253,2020-2024
Japan,2018,Ddos,Telecommunications,25.06,559274,Hacker Group,Social Engineering,Firewall,27,44.80809048874076,2015-2019
Uk,2016,Phishing,Retail,13.68,144856,Unknown,Unpatched Software,Antivirus,13,94.43861490031479,2015-2019
Japan,2015,Malware,Banking,2.63,418914,Nation-state,Unpatched Software,Firewall,53,6.27813823362313,2015-2019
Brazil,2024,Phishing,Retail,88.47,842945,Hacker Group,Weak Passwords,Firewall,67,104.95346671491022,2020-2024
Uk,2022,Ddos,Government,50.04,841198,Unknown,Zero-day,VPN,41,59.48658936421627,2020-2024
Germany,2024,Phishing,Government,19.52,50054,Insider,Unpatched Software,Antivirus,24,389.978822871299,2020-2024
Brazil,2020,Ddos,Telecommunications,4.52,52302,Unknown,Social Engineering,VPN,58,86.42116936254828,2020-2024
India,2015,Man-In-The-Middle,Banking,97.28,694308,Nation-state,Weak Passwords,VPN,66,140.11072895602527,2015-2019
China,2019,Malware,Telecommunications,62.67,520232,Nation-state,Weak Passwords,Encryption,53,120.46548462993434,2015-2019
Germany,2018,Sql Injection,Retail,46.34,575379,Unknown,Zero-day,AI-based Detection,35,80.5382191564169,2015-2019
Russia,2023,Man-In-The-Middle,IT,26.45,850714,Hacker Group,Unpatched Software,Encryption,6,31.091530173477807,2020-2024
Germany,2023,Sql Injection,Healthcare,14.12,403325,Hacker Group,Weak Passwords,AI-based Detection,35,35.0089877890039,2020-2024
Brazil,2022,Phishing,Education,80.99,345577,Insider,Unpatched Software,Encryption,4,234.36166180040917,2020-2024
Australia,2017,Man-In-The-Middle,IT,30.51,428352,Hacker Group,Unpatched Software,Firewall,41,71.22646795159122,2015-2019
Brazil,2023,Phishing,Banking,69.45,852592,Nation-state,Zero-day,AI-based Detection,12,81.45748494004167,2020-2024
Usa,2019,Sql Injection,Education,78.12,36804,Unknown,Weak Passwords,VPN,30,2122.595370068471,2015-2019
Brazil,2020,Phishing,Telecommunications,92.63,725707,Hacker Group,Weak Passwords,AI-based Detection,9,127.64104521521772,2020-2024
Australia,2017,Man-In-The-Middle,Telecommunications,35.27,765929,Nation-state,Weak Passwords,Firewall,16,46.04865464031261,2015-2019
Russia,2017,Man-In-The-Middle,Retail,17.22,242574,Nation-state,Social Engineering,Encryption,59,70.98864676346187,2015-2019
Usa,2021,Sql Injection,Education,45.52,838652,Unknown,Social Engineering,Encryption,20,54.27757878118695,2020-2024
Japan,2018,Ddos,Telecommunications,99.04,389405,Nation-state,Weak Passwords,Antivirus,53,254.33674452048638,2015-2019
Russia,2022,Phishing,Telecommunications,56.44,359577,Unknown,Zero-day,Encryption,38,156.9622083726156,2020-2024
India,2022,Man-In-The-Middle,Telecommunications,73.24,943689,Insider,Zero-day,Firewall,32,77.61031441502445,2020-2024
Brazil,2024,Sql Injection,Education,14.69,783795,Insider,Weak Passwords,AI-based Detection,43,18.742145586537298,2020-2024
Germany,2017,Ddos,Healthcare,72.05,263506,Insider,Zero-day,Encryption,49,273.4283090328114,2015-2019
Australia,2020,Ddos,Telecommunications,20.59,457184,Insider,Social Engineering,VPN,11,45.036571708546234,2020-2024
India,2019,Sql Injection,Banking,68.44,186842,Nation-state,Zero-day,VPN,40,366.29879791481574,2015-2019
Uk,2018,Ddos,Banking,8.81,198929,Nation-state,Weak Passwords,AI-based Detection,41,44.28715772964223,2015-2019
Japan,2018,Sql Injection,Retail,51.58,65700,Hacker Group,Zero-day,Encryption,28,785.0837138508372,2015-2019
Brazil,2021,Phishing,Telecommunications,83.79,90156,Hacker Group,Unpatched Software,Antivirus,65,929.3890589644616,2020-2024
Australia,2015,Ddos,Telecommunications,14.55,470471,Nation-state,Unpatched Software,VPN,53,30.926454552990513,2015-2019
China,2021,Malware,Retail,20.52,33426,Unknown,Social Engineering,Antivirus,16,613.8933764135703,2020-2024
Russia,2024,Malware,Education,83.29,143037,Insider,Unpatched Software,Firewall,47,582.2968882177339,2020-2024
